Item,Color,Platform A,Platform B,Platform C
Shirts,Jade,594,1648,540
T-Shirts,Jade,753,506,1994
Shorts,Jade,568,1604,1041
Dresses,Jade,1785,588,1731
Shirts,Jade,1333,765,1411
Shirts,Jade,1730,832,1600
Shirts,Jade,546,1121,1723
T-Shirts,Jade,709,1387,1943
Jackets,Jade,914,1876,1680
Shirts,Jade,1600,1268,1482
T-Shirts,Jade,1078,1978,1239
T-Shirts,Jade,1538,1755,694
Shirts,Jade,1041,858,1349
T-Shirts,Jade,926,996,1327
Jeans,Jade,1972,1936,829
Skirts,Jade,1388,1490,1670
T-Shirts,Jade,791,642,1246
T-Shirts,Jade,1888,589,1219
Skirts,Jade,980,583,1600
Dresses,Jade,1016,984,1281
Skirts,Jade,838,1186,1399
Jeans,Jade,1106,722,1532
Shirts,Jade,1600,1002,1839
Jeans,Jade,1321,1123,664
Shorts,Jade,1550,1593,1741
Jackets,Jade,1888,1829,1647
T-Shirts,Jade,1780,1819,1545
Shirts,Jade,949,1051,1571
Shorts,Jade,1086,1220,1706
T-Shirts,Jade,606,1711,1275
Jeans,Jade,1979,1660,1397
Shorts,Jade,1337,1992,1101
T-Shirts,Jade,902,1039,1595
Jeans,Jade,523,1123,1579
Jackets,Jade,722,678,1299
Jackets,Jade,1973,1292,1383
Skirts,Jade,1712,1309,1460
Skirts,Jade,1772,1148,1687
Dresses,Jade,1778,975,1940
Jackets,Jade,1840,673,969
Dresses,Jade,944,1541,1593
Jackets,Jade,1127,1091,1026
Shirts,Jade,1310,687,1520
Dresses,Jade,1210,1028,933
Jeans,Jade,998,1964,802
Shorts,Jade,1329,937,1040
Jeans,Jade,1332,1296,1059
Shirts,Jade,1261,966,1624
Shorts,Jade,1174,1184,1664
Jackets,Jade,1077,1209,727
Dresses,Jade,1183,1327,930
Shorts,Jade,1734,801,1609
Shirts,Jade,1776,1032,1268
T-Shirts,Jade,1904,943,1556
Skirts,Jade,1757,1831,1238
Skirts,Jade,569,1977,1962
Dresses,Jade,1887,1482,980
Shorts,Jade,523,1464,1948
Jackets,Jade,1344,1698,824
Shirts,Jade,1871,1297,517
Skirts,Jade,654,1366,1421
Dresses,Jade,1242,1925,724
Dresses,Jade,530,1582,1397
Dresses,Jade,1434,944,1758
T-Shirts,Jade,1714,1029,1237
Shorts,Jade,1373,1065,1768
T-Shirts,Jade,575,1046,766
Shirts,Jade,1644,524,1955
Skirts,Jade,1637,1399,1001
Jeans,Jade,1512,1202,1698
Dresses,Jade,1240,1609,819
Dresses,Jade,881,1841,1773
Shirts,Jade,1397,1216,1779
T-Shirts,Jade,1667,890,1692
Jeans,Jade,797,732,770
Skirts,Jade,1819,1990,1758
Shirts,Jade,1205,733,1891
Shorts,Jade,1344,1755,990
T-Shirts,Jade,1002,1389,1091
Jackets,Jade,1904,927,1196
Jeans,Jade,1231,1299,863
Jackets,Jade,1381,645,1335
Shorts,Jade,1980,634,1125
T-Shirts,Jade,540,1819,1526
Dresses,Jade,1474,1633,1744
Jackets,Indigo,867,1959,1417
Skirts,Indigo,743,1401,665
Jackets,Indigo,1918,1997,1540
Skirts,Indigo,982,1042,1728
Jeans,Indigo,1430,899,1730
T-Shirts,Indigo,1669,1378,600
Jeans,Indigo,1764,1258,662
Skirts,Indigo,1696,1001,1046
Skirts,Indigo,1882,880,1369
Dresses,Indigo,1686,1501,1108
T-Shirts,Indigo,1862,554,1482
Shirts,Indigo,626,1204,742
Shirts,Indigo,1099,1932,1002
Shorts,Indigo,1103,802,1987
T-Shirts,Indigo,1561,638,694
Shorts,Indigo,1146,500,1060
Dresses,Indigo,912,1037,928
T-Shirts,Indigo,848,895,1874
Jeans,Indigo,1415,1574,580
Skirts,Indigo,1590,1140,1381
T-Shirts,Indigo,1256,1122,967
Jeans,Indigo,855,1208,1994
Shirts,Indigo,1519,1401,1172
Shorts,Indigo,1030,626,704
Shirts,Indigo,944,1465,963
Shorts,Indigo,739,765,1628
Dresses,Indigo,1956,1412,996
Skirts,Indigo,1184,657,671
Jeans,Indigo,1469,1834,1926
Shirts,Indigo,1175,1158,1402
Jackets,Indigo,1986,866,1049
T-Shirts,Indigo,754,707,949
Shorts,Indigo,1338,977,1182
Jackets,Indigo,689,1210,1255
Shorts,Indigo,1335,632,554
Shirts,Indigo,1009,1169,909
T-Shirts,Indigo,1816,1486,1233
T-Shirts,Indigo,758,1645,798
Shorts,Indigo,1904,1060,796
Jackets,Indigo,1088,1986,1961
Shorts,Indigo,696,720,1494
T-Shirts,Indigo,910,507,1043
Skirts,Indigo,819,1917,768
Shorts,Indigo,560,1961,1787
Shirts,Indigo,1618,1052,1425
Jeans,Indigo,1160,1215,1278
Jackets,Indigo,693,981,1859
T-Shirts,Indigo,1719,1354,1772
Jackets,Indigo,711,1164,1169
Jackets,Indigo,720,772,1677
Dresses,Indigo,778,1963,1315
Skirts,Indigo,1504,1013,1611
Shorts,Indigo,1422,1141,1004
Jeans,Indigo,1271,1764,1239
T-Shirts,Indigo,1759,1513,627
Shorts,Indigo,1723,1401,1042
Jeans,Indigo,991,1544,1757
Jackets,Indigo,1290,915,647
Jackets,Indigo,528,1884,807
T-Shirts,Indigo,661,1368,1351
Shirts,Indigo,624,1979,1594
Jeans,Indigo,965,742,1744
Dresses,Indigo,1458,1032,993
T-Shirts,Indigo,581,1355,1378
Jeans,Indigo,1422,511,1786
Dresses,Indigo,948,1715,1261
Jackets,Indigo,525,1007,561
Shirts,Indigo,1106,1558,1979
Skirts,Indigo,1390,1260,1094
Dresses,Indigo,1555,1535,1842
Shirts,Indigo,500,1958,1659
Skirts,Indigo,632,585,1999
Shorts,Indigo,1847,1703,1015
Jeans,Indigo,674,1262,1544
Shirts,Indigo,1628,1077,1966
Shorts,Indigo,548,1027,644
Skirts,Indigo,1261,1877,1598
Jackets,Indigo,1428,1293,818
Shorts,Indigo,1197,1346,1282
Jackets,Indigo,1616,1028,1788
Jackets,Indigo,791,1468,1987
Skirts,Indigo,596,1618,1849
Jackets,Indigo,1859,1591,1257
Jeans,Indigo,1600,707,1744
Jeans,Indigo,909,830,843
Shirts,Indigo,1270,573,753
Shorts,Indigo,1319,1485,831
Jeans,Indigo,1868,1246,1335
Skirts,Indigo,954,1638,812
Jackets,Indigo,727,1333,1357
Shirts,Indigo,1317,1517,1027
Jeans,Indigo,926,541,964
Jeans,Indigo,777,1335,518
Jackets,Indigo,666,1519,902
Jeans,Indigo,908,611,1797
Shorts,Indigo,1896,1096,1150
Shorts,Indigo,604,823,1491
Jeans,Indigo,928,1134,1229
Dresses,Indigo,1584,1830,1877
Dresses,Indigo,703,757,985
Shirts,Plum,945,1703,1523
Jeans,Plum,632,942,752
Dresses,Plum,592,1934,637
Jackets,Plum,806,765,1145
Jeans,Plum,1636,1400,1901
Jeans,Plum,690,1963,1710
Shorts,Plum,1890,1612,686
T-Shirts,Plum,1520,631,1371
T-Shirts,Plum,1899,1190,1191
T-Shirts,Plum,1557,1081,670
Jeans,Plum,1283,1582,680
T-Shirts,Plum,1749,1996,1618
Dresses,Plum,1820,674,1745
Shorts,Plum,553,1194,1362
T-Shirts,Plum,1841,848,942
Dresses,Plum,1079,781,859
T-Shirts,Plum,1322,1391,1452
Jeans,Plum,1140,1531,1062
T-Shirts,Plum,840,971,748
T-Shirts,Plum,1606,1616,1917
Skirts,Plum,1940,1131,1028
Shirts,Plum,621,1391,509
Shorts,Plum,1839,1337,1796
Jackets,Plum,1733,1252,1385
Shirts,Plum,1939,1739,579
T-Shirts,Plum,979,1401,1390
T-Shirts,Plum,517,1688,701
Shirts,Plum,1869,1889,1971
Dresses,Plum,818,716,1557
Shorts,Plum,765,1223,1274
Shirts,Plum,912,1775,1535
Dresses,Plum,1223,781,1635
T-Shirts,Plum,1901,1250,767
Shirts,Plum,797,1840,1069
Shirts,Plum,1045,1274,864
T-Shirts,Plum,770,1997,1238
Dresses,Plum,1757,558,1774
Shorts,Plum,585,1262,889
Skirts,Plum,1218,1355,648
Shorts,Plum,620,1264,1104
Jeans,Plum,1363,1299,1832
T-Shirts,Plum,1521,1592,1969
Skirts,Plum,1609,1285,1750
Dresses,Plum,1707,1845,1408
Jeans,Plum,1065,898,1398
Shirts,Plum,792,984,1970
T-Shirts,Plum,1935,1389,743
Skirts,Plum,1459,1677,1315
Dresses,Plum,1019,1651,1896
Jeans,Plum,658,1151,675
Shorts,Plum,1119,710,946
Jackets,Plum,666,959,1415
Shirts,Plum,1827,1756,1850
Skirts,Plum,1705,1857,1552
Jackets,Plum,1616,1340,1367
Jackets,Plum,1707,594,1284
Dresses,Plum,852,1429,1440
Dresses,Plum,1542,1145,1125
T-Shirts,Plum,638,1215,1261
Jackets,Plum,754,1608,1981
Skirts,Plum,1175,591,1592
Shirts,Plum,639,1366,1179
Jeans,Plum,1701,636,689
Jeans,Plum,1528,1471,1780
Skirts,Plum,1161,742,914
T-Shirts,Plum,1206,842,1181
T-Shirts,Plum,1152,645,822
Jackets,Plum,1775,810,1100
T-Shirts,Plum,1069,1074,846
Skirts,Plum,1996,881,1803
Dresses,Plum,1889,1432,1617
Shirts,Plum,838,1960,1859
Skirts,Plum,539,1882,1073
Jeans,Plum,1465,1080,1921
Shirts,Plum,669,1200,1010
Skirts,Plum,1083,1483,958
Dresses,Plum,840,556,717
T-Shirts,Plum,1315,1230,963
Shorts,Plum,1229,872,916
Shorts,Plum,867,1058,607
Shorts,Plum,917,1320,1921
T-Shirts,Plum,1639,755,1604
Skirts,Plum,1651,1337,1414
T-Shirts,Plum,1052,680,656
Jeans,Plum,1070,1356,1547
Dresses,Plum,1923,1447,1091
Jeans,Plum,920,712,1399
Jackets,Plum,847,665,1436
Skirts,Plum,1348,897,1082
Jeans,Plum,1958,1744,807
Shorts,Plum,1297,1218,965
T-Shirts,Plum,1765,657,1109
Jackets,Plum,1150,1419,726
Shorts,Plum,1595,742,1029
Shirts,Plum,1568,1995,870
Shorts,Plum,1151,1188,1233
Shorts,Plum,591,1545,671
Skirts,Plum,1715,1600,1804
Skirts,Plum,678,737,1658
Shirts,Plum,1401,779,1542
T-Shirts,Teal,1239,870,1635
T-Shirts,Teal,1369,1518,720
Shorts,Teal,1848,1960,937
Jackets,Teal,874,880,1485
Jeans,Teal,1242,1168,999
Jeans,Teal,1914,1064,1029
Shorts,Teal,991,1908,1719
T-Shirts,Teal,799,1314,1046
Shorts,Teal,1230,1327,1101
Skirts,Teal,1775,1531,1267
T-Shirts,Teal,1731,1436,630
Shirts,Teal,1107,525,1977
T-Shirts,Teal,1709,983,1179
T-Shirts,Teal,504,1088,1683
Dresses,Teal,1728,510,1448
Dresses,Teal,1435,531,1039
Jeans,Teal,1504,886,1751
Shorts,Teal,1998,706,1841
T-Shirts,Teal,1056,847,1292
Jackets,Teal,1567,1505,1236
Jeans,Teal,1665,675,948
Jackets,Teal,634,1355,1700
Shorts,Teal,1766,1664,1980
Shorts,Teal,1196,918,587
Dresses,Teal,1155,1531,2000
Shorts,Teal,1051,1002,1198
Shirts,Teal,808,730,1906
T-Shirts,Teal,1698,1347,614
Jeans,Teal,810,1492,799
Jackets,Teal,1283,511,1927
Shirts,Teal,731,1454,1229
Jeans,Teal,1876,1517,1498
Shorts,Teal,1040,969,1312
Shirts,Teal,1519,523,1538
Skirts,Teal,1024,846,671
Shirts,Teal,1850,1211,988
Jeans,Teal,877,1687,871
Shirts,Teal,1499,1476,1947
Shirts,Teal,976,881,654
Dresses,Teal,1173,567,843
Shirts,Teal,1172,890,1972
Dresses,Teal,758,806,1618
Jeans,Teal,1987,1469,745
Shirts,Teal,686,1424,1284
Shirts,Teal,1929,907,1648
Dresses,Teal,840,1062,1701
T-Shirts,Teal,1451,1693,1562
Shirts,Teal,1759,880,556
Shirts,Teal,1349,1622,1415
Shorts,Teal,824,960,678
Skirts,Teal,1073,618,1992
Shirts,Teal,1145,1978,525
Jackets,Teal,1531,1468,1032
Shorts,Teal,648,1548,1154
Shirts,Teal,1444,1054,924
Shirts,Teal,1708,1053,930
Skirts,Teal,816,897,1847
Shirts,Teal,1095,1045,575
Dresses,Teal,1415,1208,985
Jeans,Teal,1611,1246,1755
Shorts,Teal,1049,1475,1575
Shorts,Teal,1441,1418,1919
Shirts,Teal,1951,1666,862
Jeans,Teal,1800,770,1537
Jackets,Teal,1503,1987,733
Shorts,Teal,526,1994,592
Dresses,Teal,808,551,818
Dresses,Teal,680,1643,1374
T-Shirts,Teal,1146,1783,696
Shirts,Teal,1470,754,1231
Dresses,Teal,1489,1399,1778
Jackets,Teal,741,648,1822
Shirts,Teal,1119,952,1916
Skirts,Teal,1167,1093,630
Dresses,Teal,1111,755,1060
Dresses,Teal,562,1834,906
Jackets,Teal,1628,514,758
T-Shirts,Teal,1935,1782,1113
Skirts,Teal,1568,1312,830
Shirts,Teal,1716,1924,1897
Dresses,Teal,886,1938,1553
Jackets,Teal,827,1740,819
Jeans,Teal,898,604,1195
Dresses,Teal,829,1159,1570
Shorts,Teal,1320,1140,813
T-Shirts,Teal,961,985,909
T-Shirts,Teal,1552,770,1185
Shirts,Teal,1776,884,559
T-Shirts,Teal,719,1964,1270
T-Shirts,Teal,1063,1045,595
Shirts,Teal,1612,1327,730
T-Shirts,Teal,745,610,733
Jeans,Teal,2000,916,1177
Shirts,Teal,1302,1118,1651
T-Shirts,Teal,1350,1917,974
Shorts,Teal,894,610,589
T-Shirts,Teal,1803,1856,1747
Shirts,Teal,631,1536,956
Dresses,Teal,597,1643,792
Shorts,Teal,1524,1071,749
Skirts,Violet,648,1918,543
T-Shirts,Violet,1567,1601,1749
Jackets,Violet,752,631,1971
Skirts,Violet,973,1632,1205
T-Shirts,Violet,1990,774,686
Shirts,Violet,742,763,1021
T-Shirts,Violet,1282,1610,1034
Jackets,Violet,545,1990,525
Jackets,Violet,674,1834,821
T-Shirts,Violet,1658,554,1679
Dresses,Violet,1167,646,1098
Skirts,Violet,1792,832,1406
Shorts,Violet,900,1449,1829
Skirts,Violet,966,1783,1481
Shorts,Violet,600,1050,1301
Dresses,Violet,1823,795,852
Skirts,Violet,1653,1518,1679
Jackets,Violet,1865,1988,1613
T-Shirts,Violet,954,1211,1479
Skirts,Violet,1238,1476,1871
Dresses,Violet,1523,601,1452
Dresses,Violet,1737,607,1688
Shirts,Violet,1203,834,585
Jeans,Violet,1374,1947,863
Skirts,Violet,1773,1059,616
T-Shirts,Violet,1373,1414,1467
Shorts,Violet,543,1008,1688
Dresses,Violet,1815,1348,1416
Jackets,Violet,1298,1375,785
Skirts,Violet,1183,1318,620
Dresses,Violet,1517,1711,1406
Shirts,Violet,1102,699,1085
Skirts,Violet,1340,1594,1089
Skirts,Violet,1653,1388,542
Shirts,Violet,1224,1122,1487
T-Shirts,Violet,1034,801,1026
Jackets,Violet,1638,959,1331
Dresses,Violet,1831,1431,824
T-Shirts,Violet,1260,1698,1350
Jackets,Violet,1695,1459,1001
Dresses,Violet,833,783,974
Jeans,Violet,1981,1943,1131
Shorts,Violet,908,1481,1827
Shorts,Violet,1058,721,657
Skirts,Violet,1682,1388,1421
T-Shirts,Violet,1161,904,1780
Shirts,Violet,1088,1057,1404
Dresses,Violet,1570,1736,978
Shorts,Violet,1065,1865,1023
Shorts,Violet,1529,1320,1667
Jackets,Violet,1784,1084,1185
Jeans,Violet,1439,1970,1373
Jeans,Violet,551,615,1037
Shirts,Violet,1040,1542,1314
Shorts,Violet,1117,918,808
T-Shirts,Violet,1363,685,760
Dresses,Violet,659,1369,1261
Skirts,Violet,519,1131,1991
Shorts,Violet,1733,557,1616
Shirts,Violet,1222,1755,1887
Shorts,Violet,1061,873,1121
Skirts,Violet,1513,513,632
Dresses,Violet,1557,1391,1731
Shirts,Violet,1722,1091,1082
T-Shirts,Violet,1601,1695,788
Dresses,Violet,1512,1378,1943
Shorts,Violet,1683,739,1946
Shirts,Violet,1035,569,715
Shorts,Violet,1577,1305,829
T-Shirts,Violet,1811,544,1328
Jeans,Violet,1739,1832,1395
T-Shirts,Violet,831,1195,526
Jeans,Violet,817,1797,1906
Shirts,Violet,1626,1459,872
Jeans,Violet,744,1692,1941
Skirts,Violet,977,624,1036
Jackets,Violet,1925,1030,1285
Jeans,Violet,620,1555,1160
Jackets,Violet,1560,1865,1536
Shorts,Violet,1788,587,1985
Jeans,Violet,1915,1642,1432
T-Shirts,Violet,1970,1244,1466
T-Shirts,Violet,1261,1293,1243
Jeans,Violet,1057,1025,1096
Shorts,Violet,1339,502,1551
Shirts,Violet,656,1354,1010
Shirts,Violet,1186,1637,1912
Shorts,Violet,1773,1070,1214
T-Shirts,Violet,738,1757,802
Shorts,Violet,1490,833,612
Shirts,Violet,861,1300,596
Jeans,Violet,515,1055,875
Jeans,Violet,889,1119,1740
Shorts,Violet,1783,1323,819
Skirts,Violet,917,1998,1106
Skirts,Violet,730,1383,1020
Shorts,Violet,1723,1345,1172
Shorts,Violet,520,1834,1087
Dresses,Violet,1397,1957,870
T-Shirts,Violet,577,1808,1147
Skirts,Cyan,1052,1497,781
Jackets,Cyan,1781,1883,939
Jeans,Cyan,1657,1245,603
Jeans,Cyan,594,1228,979
Skirts,Cyan,1764,512,1670
Skirts,Cyan,1100,594,792
Dresses,Cyan,1795,1689,1438
Dresses,Cyan,1261,1610,1153
Jeans,Cyan,1484,1137,990
Skirts,Cyan,1664,1626,1749
Jeans,Cyan,1074,793,1395
Jackets,Cyan,1777,1703,539
Shirts,Cyan,1019,1045,735
Shorts,Cyan,1751,982,929
Jeans,Cyan,842,1563,1696
Shorts,Cyan,1702,632,850
Shirts,Cyan,1005,583,1492
Jeans,Cyan,1360,842,1803
Jackets,Cyan,1786,1689,792
Shirts,Cyan,1749,1693,1097
Shirts,Cyan,947,1189,1501
Shorts,Cyan,1001,1263,1234
T-Shirts,Cyan,1724,749,1932
Dresses,Cyan,624,612,1480
Dresses,Cyan,649,1374,842
Dresses,Cyan,1079,1282,820
Jeans,Cyan,1031,1812,991
Skirts,Cyan,751,1600,1915
Skirts,Cyan,672,1374,700
Dresses,Cyan,875,510,1535
Skirts,Cyan,934,1317,1896
Dresses,Cyan,1430,1190,1655
Shorts,Cyan,1283,818,1343
Shirts,Cyan,1120,1284,1691
Shirts,Cyan,1703,1581,959
Shirts,Cyan,868,1644,1218
Jackets,Cyan,1540,995,996
Dresses,Cyan,1468,1838,1592
Shorts,Cyan,660,1217,1668
Dresses,Cyan,1492,1908,768
Jeans,Cyan,1977,1198,1364
Jeans,Cyan,609,906,1149
T-Shirts,Cyan,1926,1999,1610
Skirts,Cyan,1095,1478,1565
T-Shirts,Cyan,556,1237,695
Jeans,Cyan,1585,1786,611
Shirts,Cyan,1210,1701,1447
Jackets,Cyan,909,1257,1030
Dresses,Cyan,1840,1629,1248
Jackets,Cyan,1987,745,1604
Jeans,Cyan,1408,895,1021
Dresses,Cyan,1425,763,1289
Jackets,Cyan,671,764,1549
Shirts,Cyan,975,855,1549
Jackets,Cyan,763,1661,1315
Shorts,Cyan,1374,1253,1065
Jeans,Cyan,1691,1154,580
Shirts,Cyan,1369,1930,1569
Shorts,Cyan,1306,1576,1483
Shorts,Cyan,975,1091,515
Shorts,Cyan,1205,1664,1119
Shorts,Cyan,1518,1276,946
Jackets,Cyan,708,1998,912
Shirts,Cyan,1950,1894,1163
Shorts,Cyan,789,1955,1791
Shorts,Cyan,1778,1876,1900
Shirts,Cyan,1354,1881,1107
Shirts,Cyan,869,1750,1204
Shorts,Cyan,1325,1504,1912
Dresses,Cyan,1472,617,1528
Skirts,Cyan,1875,1254,1139
Skirts,Cyan,1157,1800,1321
Jackets,Cyan,1163,859,1122
Shirts,Cyan,1580,1774,1418
Jeans,Cyan,951,1685,619
Jeans,Cyan,1874,598,1690
Jackets,Cyan,1013,1163,900
Shirts,Cyan,1849,1080,1120
Skirts,Cyan,746,933,1616
Skirts,Cyan,1114,1442,1462
Dresses,Cyan,1355,561,799
T-Shirts,Cyan,1454,1826,752
Jeans,Cyan,977,1892,659
Dresses,Cyan,1689,704,1790
Jackets,Cyan,1891,1966,1357
Shorts,Cyan,1220,1540,567
Shirts,Cyan,1418,929,807
Jackets,Cyan,1697,911,596
T-Shirts,Cyan,1677,1765,1827
Shirts,Cyan,1550,1925,1883
Skirts,Cyan,701,1261,1373
Shirts,Cyan,869,1032,1675
Jeans,Cyan,1398,1106,1969
Dresses,Cyan,1752,1648,1269
Jackets,Cyan,1498,1437,735
Jackets,Cyan,1053,1287,1876
Skirts,Cyan,1696,1058,760
Dresses,Cyan,1647,1304,1685
Dresses,Cyan,1977,901,1985
T-Shirts,Cyan,705,1563,1796
Skirts,Copper,1366,592,1565
Dresses,Copper,878,1630,1851
Dresses,Copper,864,1320,1547
Skirts,Copper,1585,990,1796
Shirts,Copper,1543,502,1944
Jackets,Copper,1410,806,931
Shirts,Copper,1014,692,1938
Dresses,Copper,1641,1165,708
Jackets,Copper,1148,1841,619
T-Shirts,Copper,1024,1268,1612
Shorts,Copper,1271,1239,1021
Skirts,Copper,1900,633,747
Skirts,Copper,1841,935,1699
T-Shirts,Copper,1185,1085,850
Shorts,Copper,1466,1303,1921
Jeans,Copper,1142,1892,1000
Jeans,Copper,869,1905,1609
T-Shirts,Copper,1238,1983,1449
Shirts,Copper,1021,988,896
T-Shirts,Copper,1446,787,1982
Jeans,Copper,1035,1814,1350
Jeans,Copper,667,1449,1120
Skirts,Copper,989,854,695
Dresses,Copper,1216,1323,1431
Jeans,Copper,1502,1158,1438
Skirts,Copper,510,1779,895
T-Shirts,Copper,908,861,1782
T-Shirts,Copper,583,655,1699
T-Shirts,Copper,971,1118,1947
Jeans,Copper,1287,1406,1363
Skirts,Copper,1166,776,1759
Jackets,Copper,512,841,534
Shorts,Copper,1737,1935,904
Jeans,Copper,1157,658,1455
Shirts,Copper,1633,1048,1484
T-Shirts,Copper,778,978,610
Skirts,Copper,930,1041,1638
Jackets,Copper,1735,859,871
Shorts,Copper,1538,1454,758
Jackets,Copper,1986,619,1475
Dresses,Copper,1651,1222,1022
Shirts,Copper,824,1843,1573
Jackets,Copper,568,890,882
Shorts,Copper,1345,1368,1067
Dresses,Copper,631,1771,772
Shorts,Copper,1872,983,1049
Shirts,Copper,1841,1571,1533
Dresses,Copper,535,912,1985
Skirts,Copper,543,1067,1778
Skirts,Copper,613,896,1697
Shorts,Copper,965,1800,1987
Shorts,Copper,1001,940,568
Shirts,Copper,825,566,803
Skirts,Copper,983,1428,1940
Shorts,Copper,648,1550,1486
Shirts,Copper,1201,595,1907
Jackets,Copper,821,1919,1801
Dresses,Copper,762,1079,1816
Jeans,Copper,894,1012,1420
Jackets,Copper,1703,1419,1192
T-Shirts,Copper,1451,1860,1531
T-Shirts,Copper,1038,1319,1614
Jeans,Copper,771,1528,1742
Jeans,Copper,1092,1475,614
Shorts,Copper,1829,1945,706
Shorts,Copper,802,611,1940
T-Shirts,Copper,1808,684,1400
Shirts,Copper,1967,1640,1593
Jackets,Copper,1593,1121,926
Skirts,Copper,1067,942,1100
Dresses,Copper,1003,630,717
T-Shirts,Copper,1998,1111,1491
Dresses,Copper,556,1704,745
T-Shirts,Copper,867,1982,717
Shorts,Copper,1780,1679,941
Dresses,Copper,1455,1198,1375
Jeans,Copper,1275,1261,1444
Jackets,Copper,1422,1434,524
Jeans,Copper,1263,1583,1990
Jackets,Copper,1378,1589,1409
Shirts,Copper,605,595,667
Jackets,Copper,603,1727,1019
Shorts,Copper,781,1566,1446
Jeans,Copper,1733,1248,1330
Dresses,Copper,614,1678,1002
Shorts,Copper,1485,570,1511
Shorts,Copper,1859,566,1466
Shirts,Copper,680,1112,1196
T-Shirts,Copper,747,1737,858
Dresses,Copper,1137,1449,1611
Shorts,Copper,675,1222,925
T-Shirts,Copper,1270,1202,580
Shorts,Copper,637,1956,969
Jeans,Copper,1649,1832,1753
Skirts,Copper,1868,809,1543
Dresses,Copper,1501,2000,768
T-Shirts,Copper,1269,515,1105
Jeans,Copper,1312,1656,1835
Shorts,Copper,981,1394,1828
Shirts,Copper,913,524,815
T-Shirts,Mauve,1224,1507,1799
Jackets,Mauve,888,1221,943
Shorts,Mauve,1950,1580,1196
T-Shirts,Mauve,1220,867,841
Shirts,Mauve,803,1263,1897
Jeans,Mauve,1315,611,1377
Jeans,Mauve,1429,1202,1345
Shorts,Mauve,881,512,802
Skirts,Mauve,659,653,1253
Shirts,Mauve,1703,876,1275
Jeans,Mauve,1673,515,1614
Skirts,Mauve,752,1583,1789
Dresses,Mauve,530,1544,1230
Dresses,Mauve,788,997,1997
Shirts,Mauve,1047,1460,631
Skirts,Mauve,1357,1655,1020
Jeans,Mauve,1126,1824,503
Shirts,Mauve,1008,1760,515
Jeans,Mauve,1496,1969,1455
Jeans,Mauve,1630,1912,762
T-Shirts,Mauve,1588,764,1861
Shirts,Mauve,877,1698,1462
Skirts,Mauve,1789,828,1686
Jeans,Mauve,1866,1890,1988
Jeans,Mauve,1722,515,1819
Skirts,Mauve,1010,1483,1762
Shirts,Mauve,1824,505,1743
T-Shirts,Mauve,1976,1956,1306
Jeans,Mauve,1909,1118,1818
Jeans,Mauve,904,1496,1093
Jeans,Mauve,1251,511,1732
Shirts,Mauve,1377,1817,577
Jackets,Mauve,1113,1368,1311
Shorts,Mauve,1600,1571,1266
Jackets,Mauve,708,1968,1021
Shirts,Mauve,1827,1493,964
Jeans,Mauve,1969,1127,1280
Skirts,Mauve,1058,1882,1459
T-Shirts,Mauve,1576,1359,1727
Skirts,Mauve,655,501,1880
Dresses,Mauve,1301,1482,1581
Jeans,Mauve,1703,992,1168
T-Shirts,Mauve,574,1443,1812
T-Shirts,Mauve,1086,828,1089
Shorts,Mauve,1276,803,1078
Shirts,Mauve,1478,1687,1978
Shorts,Mauve,1743,1777,687
Shorts,Mauve,1912,1738,1898
Jeans,Mauve,973,1343,1030
Shorts,Mauve,1588,1462,974
Jackets,Mauve,1445,1905,1589
Shirts,Mauve,1616,925,1991
Jeans,Mauve,632,1957,1864
Jackets,Mauve,1090,1735,1508
Shorts,Mauve,1791,1160,1247
Jackets,Mauve,1300,909,1997
Skirts,Mauve,1179,1716,1794
Jackets,Mauve,1396,1578,564
Shorts,Mauve,1183,1795,1885
Jackets,Mauve,1442,1732,1809
Jackets,Mauve,1238,685,1987
Jeans,Mauve,1334,1308,670
Shirts,Mauve,526,1513,1591
Jeans,Mauve,907,1632,573
Jackets,Mauve,1179,1785,1891
Jackets,Mauve,1348,1369,736
Shorts,Mauve,1889,1809,877
Shirts,Mauve,1329,1405,875
T-Shirts,Mauve,1152,1599,1532
Skirts,Mauve,1306,1392,1813
Shorts,Mauve,1584,1436,1912
Shorts,Mauve,1317,1063,1133
Shorts,Mauve,1517,507,1892
Shirts,Mauve,843,1295,1898
T-Shirts,Mauve,1550,1716,1348
Shirts,Mauve,561,1585,921
Jackets,Mauve,1132,1291,1050
Skirts,Mauve,1800,1105,1954
T-Shirts,Mauve,1644,1024,1398
T-Shirts,Mauve,1286,1409,1481
Dresses,Mauve,878,1847,672
T-Shirts,Mauve,563,1624,1845
Shorts,Mauve,565,957,952
T-Shirts,Mauve,1949,1478,677
T-Shirts,Mauve,779,843,1540
Jackets,Mauve,1461,1183,1717
Shirts,Mauve,874,534,1892
Shirts,Mauve,1274,720,552
Shirts,Mauve,1290,1876,1915
Skirts,Mauve,993,616,779
Jackets,Mauve,1698,1245,1448
Skirts,Mauve,794,1517,1974
Jackets,Mauve,1544,1596,1341
Skirts,Mauve,1756,996,705
Jackets,Mauve,543,1614,1993
Shirts,Mauve,1990,953,1094
Shirts,Mauve,1006,1293,1993
Shirts,Mauve,1751,1899,1653
Shorts,Mauve,1119,913,1594
Skirts,Mauve,1920,836,1409
Skirts,Dark Yellow,1391,512,1526
Jackets,Dark Yellow,1477,1747,1473
